stage,model_id,model_key,layer_index,normalized_depth,protocol,source_relations,target_relation,fold,auc,balanced_accuracy,n_train,n_test,n_iter
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P138,P138,0,0.9653979238754326,0.8970588235294117,132,68,16
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P138,P138,1,0.9898989898989898,0.9090909090909092,134,66,17
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P138,P138,2,0.9761248852157943,0.9242424242424243,134,66,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P19,P19,0,0.9230103806228374,0.8235294117647058,132,68,22
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P19,P19,1,0.9247015610651974,0.8484848484848485,134,66,20
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P19,P19,2,0.9559228650137741,0.8787878787878789,134,66,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P103,P103,0,0.9757785467128027,0.9705882352941176,132,68,24
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P103,P103,1,0.9880624426078971,0.9696969696969697,134,66,20
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P103,P103,2,0.9669421487603307,0.9696969696969697,134,66,20
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P101,P101,0,0.9524221453287198,0.8970588235294117,132,68,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P101,P101,1,0.9595959595959596,0.9242424242424243,134,66,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P101,P101,2,0.9522497704315885,0.8636363636363636,134,66,16
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P159,P159,0,0.9783737024221453,0.9411764705882353,132,68,16
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P159,P159,1,0.9816345270890725,0.9393939393939394,134,66,21
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P159,P159,2,0.9421487603305785,0.8636363636363636,134,66,22
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P176,P176,0,0.9982698961937716,0.9852941176470589,132,68,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P176,P176,1,0.9963269054178145,0.9393939393939394,134,66,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P176,P176,2,1.0,0.9848484848484849,134,66,20
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P138,P138,0,1.0,0.9705882352941176,132,68,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P138,P138,1,0.9981634527089073,0.9545454545454546,134,66,20
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,within_relation,P138,P138,2,0.9963269054178145,0.9696969696969697,134,66,21
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P19,P19,0,0.944636678200692,0.9117647058823529,132,68,22
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P19,P19,1,0.9338842975206612,0.9090909090909092,134,66,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P19,P19,2,0.967860422405877,0.9090909090909092,134,66,20
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P103,P103,0,0.990484429065744,0.9558823529411764,132,68,25
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P103,P103,1,0.9770431588613407,0.9393939393939394,134,66,22
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P103,P103,2,0.9742883379247016,0.9393939393939394,134,66,25
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P101,P101,0,0.9472318339100346,0.8235294117647058,132,68,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P101,P101,1,0.9439853076216713,0.8939393939393939,134,66,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P101,P101,2,0.9522497704315885,0.893939393939394,134,66,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P159,P159,0,0.9835640138408305,0.8970588235294117,132,68,19
